"Manage Reminders","Manage Reminders"
Send,Send
"Edit Reminder '%1'","Edit Reminder '%1'"
"Reminder Information","Reminder Information"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Review Status","Review Status"
"Order Products","Order Products"
Run,Run
"Reminder was deleted.","Reminder was deleted."
"Can't find a reminder to delete.","Can't find a reminder to delete."
"Review Reminders","Review Reminders"
"This reminder no longer exists.","This reminder no longer exists."
"Edit Reminder","Edit Reminder"
"Please select store view(s)","Please select store view(s)"
"Please enter correct date in YYYY-MM-DD format","Please enter correct date in YYYY-MM-DD format"
"Please select item(s).","Please select item(s)."
"Something went wrong while sending the reminder.","Something went wrong while sending the reminder."
"A total of %1 reminders have been sent.","A total of %1 reminders have been sent."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"Reminder has been saved.","Reminder has been saved."
"Something went wrong while saving the reminder.","Something went wrong while saving the reminder."
"Reminder has been sent.","Reminder has been sent."
"Unable to find a reminder to send.","Unable to find a reminder to send."
"Last year","Last year"
"Last month","Last month"
"Last week","Last week"
"From custom date","From custom date"
"Not reviewed","Not reviewed"
Reviewed,Reviewed
"Customer not found","Customer not found"
"Delete ""${ $.$data.customer_email }""","Delete ""${ $.$data.customer_email }"""
"Are you sure you wan't to delete a ""${ $.$data.customer_email }"" record?","Are you sure you wan't to delete a ""${ $.$data.customer_email }"" record?"
"Write review","Write review"
Hello,Hello
"You\'ve recently bought %products_list what do you think about it?","You\'ve recently bought %products_list what do you think about it?"
"An error occured:","An error occured:"
"Completed. {count} items were processed","Completed. {count} items were processed"
Success,Success
"Review Reminder","Review Reminder"
"Number of emails to send per cron iteration","Number of emails to send per cron iteration"
"Default reminder status","Default reminder status"
"Email Settings","Email Settings"
"Send email from","Send email from"
"Email subject","Email subject"
"Send email after, days","Send email after, days"
"Process orders","Process orders"
"Consider orders with status","Consider orders with status"
"Manual orders indexing","Manual orders indexing"
"Index orders created","Index orders created"
"Custom date","Custom date"
"Index orders made in store(s)","Index orders made in store(s)"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Send items","Send items"
"Are you sure you want to send selected reminders?","Are you sure you want to send selected reminders?"
"Are you sure you want to change selected reminders status?","Are you sure you want to change selected reminders status?"
