"Record was deleted.","Record was deleted."
"Can't find a record to delete.","Can't find a record to delete."
SoldTogether,SoldTogether
"Customers Who Bought This Item Also Bought","Customers Who Bought This Item Also Bought"
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"We couldn't find any customers","We couldn't find any customers"
"All Customer Orders have been indexed.","All Customer Orders have been indexed."
"Frequently Bought Together","Frequently Bought Together"
"We couldn't find any orders","We couldn't find any orders"
"All Orders have been indexed.","All Orders have been indexed."
"This Item","This Item"
"Add All to Cart","Add All to Cart"
Swissup,Swissup
Enabled,Enabled
"Count Products to Display","Count Products to Display"
"Index Customer Orders","Index Customer Orders"
"Related Product Name","Related Product Name"
"Is Admin","Is Admin"
"Index Orders","Index Orders"
"Customers who bought this product also commonly purchased the following combination of items","Customers who bought this product also commonly purchased the following combination of items"
"Customers Who Bought This Item(s) Also Bought","Customers Who Bought This Item(s) Also Bought"
"Email Blocks Settings","Email Blocks Settings"
"Frequently Bought Together Count Products to Display","Frequently Bought Together Count Products to Display"
"Customer Bought Together Count Products to Display","Customer Bought Together Count Products to Display"
"List random products for empty collections","List random products for empty collections"
"Show Out Of Stock Products","Show Out Of Stock Products"
